,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,40,management,single,primary,no,858,yes,no,unknown,21,may,173,1,-1,0,unknown,no
1,32,blue-collar,married,secondary,no,358,no,no,unknown,26,may,396,1,-1,0,unknown,no
2,35,blue-collar,married,secondary,no,-461,no,no,unknown,23,may,339,1,-1,0,unknown,no
3,48,management,single,tertiary,no,145,yes,no,unknown,26,may,14,38,-1,0,unknown,no
4,44,blue-collar,married,primary,no,12,yes,no,unknown,16,may,408,10,-1,0,unknown,no
5,51,management,divorced,tertiary,no,6,no,no,unknown,2,jun,193,4,-1,0,unknown,no
6,34,technician,divorced,primary,no,3744,yes,no,unknown,21,may,489,2,-1,0,unknown,no
7,28,admin.,single,secondary,no,2831,yes,no,unknown,9,may,211,3,-1,0,unknown,no
8,33,admin.,single,primary,no,-258,yes,no,unknown,28,may,193,2,-1,0,unknown,no
9,30,management,single,tertiary,no,5288,yes,no,unknown,28,may,288,3,-1,0,unknown,no
10,44,entrepreneur,divorced,secondary,no,-143,yes,no,unknown,2,jun,66,6,-1,0,unknown,no
11,37,admin.,single,secondary,no,18,no,no,unknown,12,may,574,6,-1,0,unknown,no
12,43,technician,married,primary,no,117,yes,no,unknown,7,may,84,2,-1,0,unknown,no
13,37,management,divorced,tertiary,no,122,yes,no,unknown,19,may,1622,2,-1,0,unknown,yes
14,30,blue-collar,single,secondary,no,99,yes,no,unknown,2,jun,572,4,-1,0,unknown,no
15,35,blue-collar,married,secondary,no,3595,no,no,unknown,6,jun,30,1,-1,0,unknown,no
16,32,blue-collar,married,secondary,no,120,yes,yes,unknown,9,may,214,3,-1,0,unknown,no
17,48,admin.,married,secondary,no,359,yes,no,unknown,7,may,374,1,-1,0,unknown,no
18,26,admin.,divorced,secondary,no,-45,yes,no,unknown,4,jun,357,2,-1,0,unknown,no
19,29,services,single,secondary,no,271,yes,no,unknown,20,may,1882,2,-1,0,unknown,yes
20,36,technician,single,secondary,no,380,yes,no,unknown,20,may,134,1,-1,0,unknown,no
21,25,management,single,tertiary,no,1348,yes,no,unknown,8,may,109,1,-1,0,unknown,no
22,41,self-employed,married,tertiary,no,-326,yes,yes,unknown,23,may,86,2,-1,0,unknown,no
23,58,retired,married,secondary,no,-172,yes,no,unknown,14,may,300,1,-1,0,unknown,no
24,34,services,married,secondary,no,-93,yes,yes,unknown,20,may,194,1,-1,0,unknown,no
25,43,retired,married,secondary,no,56,yes,yes,unknown,15,may,259,1,-1,0,unknown,no
26,44,blue-collar,married,primary,no,77,yes,no,unknown,29,may,23,1,-1,0,unknown,no
27,44,technician,divorced,secondary,no,1196,yes,no,unknown,27,may,202,1,-1,0,unknown,no
28,50,technician,married,tertiary,no,2938,yes,no,unknown,15,may,170,5,-1,0,unknown,no
29,37,blue-collar,married,primary,no,178,yes,yes,unknown,9,jun,72,1,-1,0,unknown,no
30,55,blue-collar,married,secondary,no,212,yes,no,unknown,19,may,324,2,-1,0,unknown,no
31,36,blue-collar,married,secondary,no,6290,yes,no,unknown,3,jun,19,20,-1,0,unknown,no
32,31,self-employed,single,tertiary,no,120,yes,no,unknown,8,may,239,2,-1,0,unknown,no
33,38,blue-collar,married,secondary,no,961,yes,no,unknown,16,may,346,1,-1,0,unknown,no
34,24,management,single,tertiary,no,933,yes,no,unknown,4,jun,122,1,-1,0,unknown,no
