,TARGET(PRICE_IN_LACS)
0,55.0
1,51.0
2,43.0
3,62.5
4,60.5
5,42.0
6,66.5
7,52.0
8,41.6
9,36.0
10,35.0
11,110.0
12,48.0
13,62.0
14,20.0
15,71.1
16,85.0
17,180.0
18,22.0
19,120.0
20,45.0
21,42.0
22,55.0
23,300.0
24,50.0
25,27.5
26,46.0
27,22.9
28,39.0
29,12.5
30,52.0
31,33.0
32,55.0
33,82.0
34,240.0
35,55.0
36,65.0
37,65.0
38,35.0
39,75.0
40,9110.0
41,65.0
42,30.0
43,250.0
44,220.0
45,38.0
46,60.0
47,46.0
48,26.3
49,51.6
50,55.0
51,71.9
52,130.0
53,32.5
54,39.9
55,59.9
56,65.0
57,110.0
58,68.5
59,99.0
60,250.0
61,27.5
62,70.0
63,50.0
64,70.0
65,22.1
66,280.0
67,74.0
68,85.0
69,49.2
70,45.0
71,60.0
72,30.0
73,33.0
74,29.0
75,210.0
76,88.6
77,780.0
78,30.0
79,140.0
80,240.0
81,160.0
82,100.0
83,60.0
84,81.5
85,34.0
86,31.8
87,30.0
88,24.9
89,48.0
90,53.7
91,42.0
92,150.0
93,440.0
94,140.0
95,58.0
96,100.0
97,18.0
98,60.4
99,30.0
100,50.0
101,140.0
102,80.0
103,49.0
104,24.5
105,18.0
106,95.0
107,22.0
108,48.0
109,75.0
110,93.0
111,88.0
112,82.0
113,75.0
114,21.2
115,64.9
116,80.0
117,74.0
118,99.0
119,42.0
120,340.0
121,70.0
122,38.0
123,470.0
124,46.0
125,83.7
126,82.0
127,70.0
128,11.0
129,48.0
130,240.0
131,330.0
132,100.0
133,62.0
134,16.5
135,300.0
136,100.0
137,48.0
138,14.5
139,100.0
140,65.0
141,25.0
142,38.0
143,37.0
144,57.9
145,180.0
146,180.0
147,20.0
148,85.0
149,150.0
150,33.9
151,88.0
152,25.0
153,100.0
154,99.0
155,67.0
156,210.0
157,49.0
158,75.0
159,55.0
160,1700.0
161,250.0
162,30.0
163,250.0
164,55.0
165,160.0
166,50.7
167,82.0
168,110.0
169,150.0
170,60.0
171,95.0
172,75.0
173,85.0
174,200.0
175,110.0
